train_frac,test_frac,k,rep,accuracy,descriptors_sampling_s,kmeans_s,build_histograms_s,train_s,predict_s,total_s
0.8,0.2,21,0,0.5547619047619048,0.38927201899991815,0.5588561689999096,1.1470749190000333,0.09304968100013866,0.034981305000201246,2.2232723990000522
0.8,0.2,50,0,0.6428571428571429,0.27922155800001747,1.0002680380000584,1.5743148099998052,0.09271823899985066,0.04747266900017166,2.9940374420000353
0.8,0.2,100,0,0.6619047619047619,0.3142087139999603,1.8225100419999762,1.7065765760000886,0.11641334900014044,0.047952224000027854,4.00770181200005
0.8,0.2,150,0,0.6595238095238095,0.28654329699998016,2.7554626429998734,2.1989723780000077,0.14876690100004453,0.05746962199987138,5.447255312999914
0.8,0.2,200,0,0.6928571428571428,0.267876742999988,3.650125279999884,2.434395608000159,0.1865230779999365,0.06663522500002728,6.605591517999983
0.8,0.2,250,0,0.7,0.2777824019999571,4.416788449000023,2.8603432449999673,0.20928028299999824,0.0783149849999063,7.842571607999844
0.8,0.2,300,0,0.6857142857142857,0.2889630649999617,5.280807093000021,3.2645037199999933,0.25735875999998825,0.09012709699982224,9.18179308799995
0.7,0.3,21,0,0.5555555555555556,0.2431941800000459,0.6158129139998891,1.1081184199999825,0.07398990599995159,0.045060874000000695,2.0862211169999227
0.7,0.3,50,0,0.6428571428571429,0.24390334800000346,1.0468039029999545,1.3159438400000454,0.07773575700002766,0.04508105800005069,2.729489046000026
0.7,0.3,100,0,0.6825396825396826,0.2473333839998304,1.7626693720001185,1.8003050509998957,0.10530320599991683,0.06261061400005019,3.9782419149998987
0.7,0.3,150,0,0.6904761904761905,0.2365795610000987,2.647431294999933,2.102426363999939,0.12105084599988913,0.07795035499998448,5.185461432000011
0.7,0.3,200,0,0.6984126984126984,0.23956350399998882,3.51738573800003,2.48920727299992,0.155544510000027,0.0910729550000724,6.4927999050000835
0.7,0.3,250,0,0.707936507936508,0.2403112140000303,4.615718936999883,2.841136443000096,0.17299402499997996,0.1029847710001377,7.973172015000046
0.7,0.3,300,0,0.7142857142857143,0.24671810500012725,5.384211739999955,3.1701839760000894,0.2148203619999549,0.12279766899996503,9.138766743000133
0.6,0.4,21,0,0.5619047619047619,0.20737650599994595,0.543121076000034,1.1124040429999695,0.057770024000092235,0.05097350100004405,1.9716656739999507
0.6,0.4,50,0,0.6261904761904762,0.22691184699988298,1.0431714379999448,1.3417522540000846,0.062105479000138075,0.05426533499985453,2.72822671799986
0.6,0.4,100,0,0.6523809523809524,0.20683013899997604,1.8038187800000287,1.7261140079999677,0.08292788400012796,0.07039314999997259,3.890106021999827
0.6,0.4,150,0,0.6761904761904762,0.20870894099994075,2.7475819120002143,2.1221859159998075,0.09924065800009885,0.08595452800000203,5.2637056170001415
0.6,0.4,200,0,0.6869047619047619,0.2089679509999769,3.597848613999986,2.566927274999898,0.12394264299996394,0.10202118500001234,6.599733324999988
0.6,0.4,250,0,0.6976190476190476,0.2069758529999035,4.347093905000065,2.822708862999889,0.1421584189999976,0.14016906999995626,7.659129924999888
0.6,0.4,300,0,0.6845238095238095,0.1974994350000543,5.352447699000095,3.2370580699998754,0.1914384340000197,0.13898364300007415,9.11745344000019
0.5,0.5,21,0,0.5361904761904762,0.17963201899988235,0.5001708120000785,1.117937338000047,0.04531391499995152,0.05269523899983142,1.8957710289998886
0.5,0.5,50,0,0.5914285714285714,0.16720340000006217,0.9859177360001468,1.3251821929998187,0.04911856300009276,0.0538677380000081,2.5813100640000357
0.5,0.5,100,0,0.6409523809523809,0.17109886000002916,1.7971509209999112,1.7788038549999783,0.06466212599980281,0.06974258299987923,3.881482071999926
0.5,0.5,150,0,0.6342857142857142,0.17703527300000133,2.691272756999979,2.0591639470001155,0.07365174999995361,0.09006069799988836,5.091208013999903
0.5,0.5,200,0,0.6761904761904762,0.18421246999992036,3.6570953870000267,2.4425426049999714,0.09299235599996791,0.10816156900000351,6.485025999000072
0.5,0.5,250,0,0.6628571428571428,0.18239623599993138,4.225518093999881,2.8234719399999904,0.10729827499994826,0.12316359099986585,7.461875677999842
0.5,0.5,300,0,0.6838095238095238,0.18389812500004155,5.635793208999985,3.264746951999996,0.13156798199997866,0.15213146900009633,9.368165331
